"","x"
"1",-0.00108724512805605
"2",0.00200474668596015
"3",-0.00119748381445829
"4",0.00532266643980837
"5",0.0055643536363017
"6",-0.00604948721969639
"7",0.00225366984880618
"8",0.00106569237728046
"9",-0.00293761826148229
"10",-0.00894465292296117
"11",-0.0124660077415433
"12",-0.0154401194348527
"13",-0.00404244026881554
"14",0.00640281728131734
"15",0.00673923151321486
"16",-0.00359292251758465
"17",-0.00573481361425015
"18",-0.00359773209091134
"19",0.0102295457097087
"20",-0.00181690546130776
"21",-0.0113931100456648
"22",0.0152316764908361
"23",-0.00993164244488287
"24",-0.00408384163432591
"25",0.00494236909465889
"26",0.00976591522902884
"27",-0.0105792994229282
"28",-0.00223531614217644
"29",-0.00207710330730188
"30",0.00958487119327569
"31",-0.00980645006374829
"32",0.00917133102990486
"33",-0.0176712057704491
"34",0.0194990877677826
"35",0.0154439519109028
"36",0.0143720877387659
"37",0.0149437689263874
"38",-0.00377483574998735
"39",-0.00360042649388994
"40",-0.00336078185494413
"41",-0.00330959820275653
"42",0.000227582954292087
"43",0.000458450171394678
"44",0.00328369889108844
"45",0.000315121011588726
"46",0.00278022461196461
"47",0.00202859921941677
"48",0.004063750658694
"49",0.00569067135871505
"50",-0.00448086072534601
"51",-0.00120629202508953
"52",-0.00384509885790516
"53",0.00842556935411995
"54",-0.00393504296414497
"55",0.00374783140434131
"56",0.00349565970183559
"57",-0.00552482842073563
"58",-0.00810151147955044
"59",0.00168867147365678
"60",-0.00233397511075086
"61",-0.000627477205106915
"62",-0.00289558269709089
"63",-0.000641913910743626
"64",0.00965748800718498
"65",-0.00353425885828225
"66",-0.00583427098731768
"67",-0.000694931507063755
"68",0.00275634366253592
"69",-0.0072646991052329
"70",-0.00705097359308941
"71",0.00238539157613426
"72",0.00905081560656082
"73",-0.00215824360845215
"74",0.00362011067180696
"75",-0.00628813628748198
"76",0.00151070274026876
"77",0.00285960405215136
"78",-0.00991444800658934
"79",0.00425352946304724
"80",0.0111132379975983
"81",-0.00648224207212195
"82",0.00869364955707399
"83",0.0134286255841129
"84",-0.00667105265801008
"85",0.0123073758694182
"86",0.0176062580480203
"87",-0.00164637562539528
"88",0.00266670195782918
"89",-0.00472045308700224
"90",-0.0074182310615341
"91",-0.0045912290433924
"92",0.0112728825889234
"93",-0.0117918946552255
"94",-0.00769464022951842
"95",0.00813878585598665
"96",-0.00697081010523894
"97",0.00142461635785839
"98",-0.00577158336362179
"99",0.00662693258462218
"100",-0.0151317046963875
"101",-0.00357923824114371
"102",-0.00168632243525093
"103",-0.0127646181856964
"104",-0.00677316972348586
