"","x"
"1",-0.00198363389219213
"2",0.00289358292151675
"3",0.00154854453553079
"4",-0.00664087975673355
"5",0.000410622890278297
"6",0.00811315887839853
"7",-0.0113813194209177
"8",-0.00771799431254296
"9",-0.00297799576919003
"10",0.00644124447415444
"11",-0.00284896807045548
"12",-0.00402157551231138
"13",0.00518350310790718
"14",-0.00232916061533999
"15",0.00344383592226028
"16",0.00609915631204796
"17",-0.00754319204698991
"18",-0.0012963348608343
"19",0.00424937680300733
"20",0.00445546349141751
"21",0.00791616351997925
"22",0.00213628593558916
"23",-0.0108872510938961
"24",-0.00489901399557228
"25",-0.00223034389413235
"26",0.00442197739372916
"27",-0.000767037739148519
"28",-0.00424648428699647
"29",-0.00473327787961706
"30",-0.00128312354220597
"31",-0.00140845423219306
"32",0.00927090660723049
"33",0.0108911212485441
"34",0.00226601098117631
"35",0.00101393968651611
"36",-0.00401421482788757
"37",-0.00398214516609718
"38",-0.00734917335874624
"39",-0.00177249696706075
"40",0.0126892958320934
"41",-0.000128931376210534
"42",-0.00403956249382143
"43",0.00206355579474902
"44",-0.00435910510585163
"45",-0.00128682650727082
"46",0.000568989392390141
"47",0.00448019257147128
"48",-0.0120593546138792
"49",-0.00952567152855527
"50",0.0105472383672783
"51",-0.00504527153358103
"52",-0.00746325022481344
"53",0.00319139850981014
"54",-0.00241163683151089
"55",0.00385485008521324
"56",0.011342698930971
"57",0.0022700185082959
"58",-1.87398832785358e-05
"59",-0.00676703812077194
"60",-0.00959274383602114
"61",-0.00997750930017031
"62",0.00450232375438535
"63",0.00840154113628781
"64",0.0077084009916717
"65",0.00556329086245075
"66",-4.11125464084878e-05
"67",0.00219226768711948
"68",-0.0058723955694805
"69",-0.00389595961473028
"70",0.00256385562674743
"71",-0.00664143005262204
"72",-0.00113821967666644
"73",-7.39637713868044e-05
"74",0.0122634331153008
"75",0.0148566288356943
"76",-0.000871593137953239
"77",0.00429741475172222
"78",0.000439578261097039
"79",-0.00645771278543609
"80",-0.0112057886598748
"81",-0.00550211744764521
"82",-0.00374186145906875
"83",-0.00435678958084127
"84",0.000548886805313488
"85",0.00079058152085343
"86",0.000551720811362904
"87",-0.00411597134342614
"88",0.00729189912570481
"89",-0.0182292197713883
"90",-0.00520408696832074
"91",0.00135379871806496
"92",-0.00270983790140866
"93",0.00701650149366282
"94",-0.00118400974045115
"95",0.0121249948847883
"96",0.00633205747294756
"97",0.0101273446958987
"98",-0.00864075530962365
"99",0.00594672778150014
"100",-0.0085593979377177
"101",0.00509066753762533
"102",0.00103192285466301
"103",-0.000861841685236008
"104",-0.00234578010718866
"105",0.00586655817578512
"106",0.0021589992771251
"107",0.0052137565126137
"108",-0.00453825887106112
"109",-0.00546285914134439
"110",-0.00162138233804738
"111",-0.00590581961651673
"112",0.0132415148826844
"113",0.0284624328804757
"114",-0.011279333295277
"115",0.0151624777895887
"116",-0.00465505262292356
"117",0.00263740694064259
"118",-0.000813875585300986
"119",-0.00258759284677258
"120",-0.00613394070434495
"121",-0.00815291391657409
"122",-0.00605537158205728
"123",0.00693563758970208
"124",-0.0066722943331631
"125",-0.0006289682381587
"126",-0.0177000190362333
"127",-0.0019145230668714
"128",0.0072967758362628
"129",0.0242789495353127
"130",-0.00448576476318675
