"","x"
"1",0.00249272199066968
"2",-0.00434253142378371
"3",-0.0082755398513381
"4",-0.0048256673925095
"5",0.00243725001093911
"6",-0.00291013851027743
"7",0.00684110018197587
"8",-0.00304312993381261
"9",0.00455146825212382
"10",-0.0141713748145002
"11",0.00536386471789955
"12",0.0026016160018373
"13",0.00870907442174428
"14",0.00958223142303149
"15",-0.00841347850302381
"16",-0.0133011451429421
"17",0.00292276371331139
"18",0.000515117812396392
"19",0.00134595463290767
"20",0.00537098753044145
"21",-0.0131615693081429
"22",-0.00590643302485407
"23",0.0167851164261704
"24",0.00642449035825415
"25",0.00287743863733478
"26",0.00830836161066757
"27",0.0205912922075324
"28",-0.0114353165986287
"29",-0.00048794437378649
"30",0.00706818429353906
"31",-0.0111883718715418
"32",0.00744323954867498
"33",0.0106028920340048
"34",-0.00589256238096814
"35",0.000499544482925752
"36",0.00283764400528248
"37",-0.00316361504025006
"38",0.0116794733249676
"39",-0.00797346872864036
"40",-0.00593445211448634
"41",-0.0127963052111674
"42",-0.00716759550164074
"43",-0.00395658846623437
"44",-0.0092546991186347
"45",0.000497781891543233
"46",0.0135918922433252
"47",-0.007722869405467
"48",-0.00725708586107033
"49",-0.00348946011912407
"50",0.00248322165889216
"51",-0.00856018599835645
"52",-0.000335718469931059
"53",-0.00927893296411937
"54",0.0196393669689142
"55",0.0022511895376056
"56",-0.0026379443417269
"57",-0.0199210057346294
"58",-0.00515440653329332
"59",-0.0135355958037607
"60",0.00982135107059424
"61",-0.0163716892289534
"62",0.00189180172206414
"63",-0.0350128375278165
"64",-0.0302464907081335
"65",0.0177541953430581
"66",-0.0122231640074968
"67",-0.0167921714160612
"68",-0.0183004898870676
"69",0.00910611021003878
"70",-0.00933243122140489
"71",0.0117079446620682
"72",-0.00050283704485924
"73",-0.000918783644843644
"74",0.00548926685395349
"75",-0.014699631570775
"76",-0.0261274076732237
"77",-0.0141220156206912
"78",0.00207228367881777
"79",0.022442598594536
"80",0.0179765175569901
"81",0.0142693410189872
"82",-0.00990109397541226
"83",0.0103614939012622
"84",-0.0406924310507381
"85",0.00606524941927674
"86",0.000893615285857582
"87",0.0214329108059446
"88",0.0115086880068148
"89",-0.0116150060238045
"90",0.0284466333388393
